StudyID,Experiment ID,Author,Title,Year_Publication,Country,Longitude ,Latitude ,ClimateZone,Temperature ,Precipitation ,WetnessIndex,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial ,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration ,SoilDepth,SOC_CK,SOC_CK_SD,SOC_CK_N,SOC_T ,SOC_T _SD,SOC_T _N,SOC_RR,SOC_LNRR,TN_CK,TN_CK_SD,TN_CK_N,TN_T ,TN_T _SD,TN_T _N,TN_RR,TN_LNRR,CNRatio_CK,CNRatio_CK_SD,CNRatio_CK_N,CNRatio_T ,CNRatio_T _SD,CNRatio_T _N,CNRatio_RR,CNRatio_LNRR,DOC_CK,DOC_CK_SD,DOC_CK_N,DOC_T ,DOC_T _SD,DOC_T _N,DOC_RR,DOC_LNRR,NH4_N_CK,NH4_N_CK_SD,NH4_N_CK_N,NH4_N_T ,NH4_N_T _SD,NH4_N_T _N,NH4_N_RR,NH4_N_LNRR,NO3_N_CK,NO3_N_CK_SD,NO3_N_CK_N,NO3_N_T ,NO3_N_T _SD,NO3_N_T _N,NO3_N_RR,NO3_N_LNRR,OlsenP_CK,OlsenP_CK_SD,OlsenP_CK_N,OlsenP_T ,OlsenP_T _SD,OlsenP_T _N,OlsenP_RR,OlsenP_LNRR,CEC_CK,CEC_CK_SD,CEC_CK_N,CEC_T ,CEC_T _SD,CEC_T _N,CEC_RR,CEC_LNRR,K_CK,K_CK_SD,K_CK_N,K_T ,K_T _SD,K_T _N,K_RR,K_LNRR,Ca_CK,Ca_CK_SD,Ca_CK_N,Ca_T ,Ca_T _SD,Ca_T _N,Ca_RR,Ca_LNRR,Mg_CK,Mg_CK_SD,Mg_CK_N,Mg_T ,Mg_T _SD,Mg_T _N,Mg_RR,Mg_LNRR,Na_CK,Na_CK_SD,Na_CK_N,Na_T ,Na_T _SD,Na_T _N,Na_RR,Na_LNRR,pH_CK,pH_CK_SD,pH_CK_N,pH_T ,pH_T _SD,pH_T _N,pH_RR,pH_LNRR,SMBC_CK,SMBC_CK_SD,SMBC_CK_N,SMBC_T ,SMBC_T _SD,SMBC_T _N,SMBC_RR,SMBC_LNRR,SMBN_CK,SMBN_CK_SD,SMBN_CK_N,SMBN_T ,SMBN_T _SD,SMBN_T _N,SMBN_RR,SMBN_LNRR,CropYield_CK,CropYield_CK_SD,CropYield_CK_N,CropYield_T ,CropYield_T _SD,CropYield_T _N,CropYield_RR,CropYield_LNRR,CO2_CK,CO2_CK_SD,CO2_CK_N,CO2_T ,CO2_T _SD,CO2_T _N,CO2_RR,CO2_LNRR,CH4_CK,CH4_CK_SD,CH4_CK_N,CH4_T ,CH4_T _SD,CH4_T _N,CH4_RR,CH4_LNRR,N2O_CK,N2O_CK_SD,N2O_CK_N,N2O_T ,N2O_T _SD,N2O_T _N,N2O_RR,N2O_LNRR,GWP_CK,GWP_CK_SD,GWP_CK_N,GWP_T ,GWP_T _SD,GWP_T _N,GWP_RR,GWP_LNRR,GHGI_CK,GHGI_CK_SD,GHGI_CK_N,GHGI_T ,GHGI_T _SD,GHGI_T _N,GHGI_RR,GHGI_LNRR,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,B,25.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,12.18 ,0.61 ,3.00 ,1.42 ,0.35 ,1.40 ,0.07 ,3.00 ,1.50 ,0.08 ,3.00 ,1.07 ,0.07 ,6.13 ,0.31 ,3.00 ,8.12 ,0.41 ,3.00 ,1.32 ,0.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,1.50 ,0.08 ,3.00 ,1.07 ,0.07 ,20.10 ,1.01 ,3.00 ,21.10 ,1.06 ,3.00 ,1.05 ,0.05 ,3.00 ,0.15 ,3.00 ,3.00 ,0.15 ,3.00 ,1.00 ,0.00 ,,,,,,,,,5.45 ,0.27 ,3.00 ,5.94 ,0.30 ,3.00 ,1.09 ,0.09 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.24 ,0.01 ,3.00 ,1.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,B,50.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,18.56 ,0.93 ,3.00 ,2.16 ,0.77 ,1.40 ,0.07 ,3.00 ,1.50 ,0.08 ,3.00 ,1.07 ,0.07 ,6.13 ,0.31 ,3.00 ,12.37 ,0.62 ,3.00 ,2.02 ,0.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,1.50 ,0.08 ,3.00 ,1.07 ,0.07 ,20.10 ,1.01 ,3.00 ,21.20 ,1.06 ,3.00 ,1.05 ,0.05 ,3.00 ,0.15 ,3.00 ,3.10 ,0.16 ,3.00 ,1.03 ,0.03 ,,,,,,,,,5.45 ,0.27 ,3.00 ,6.30 ,0.32 ,3.00 ,1.16 ,0.14 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.32 ,0.02 ,3.00 ,1.33 ,0.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,25.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,14.85 ,0.74 ,3.00 ,1.73 ,0.55 ,1.40 ,0.07 ,3.00 ,1.80 ,0.09 ,3.00 ,1.29 ,0.25 ,6.13 ,0.31 ,3.00 ,8.25 ,0.41 ,3.00 ,1.35 ,0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,2.40 ,0.12 ,3.00 ,1.71 ,0.54 ,20.10 ,1.01 ,3.00 ,32.00 ,1.60 ,3.00 ,1.59 ,0.47 ,3.00 ,0.15 ,3.00 ,3.50 ,0.18 ,3.00 ,1.17 ,0.15 ,,,,,,,,,5.45 ,0.27 ,3.00 ,6.20 ,0.31 ,3.00 ,1.14 ,0.13 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.63 ,0.03 ,3.00 ,2.63 ,0.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,25.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,16.88 ,0.84 ,3.00 ,1.97 ,0.68 ,1.40 ,0.07 ,3.00 ,2.00 ,0.10 ,3.00 ,1.43 ,0.36 ,6.13 ,0.31 ,3.00 ,8.44 ,0.42 ,3.00 ,1.38 ,0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,2.90 ,0.15 ,3.00 ,2.07 ,0.73 ,20.10 ,1.01 ,3.00 ,39.30 ,1.97 ,3.00 ,1.96 ,0.67 ,3.00 ,0.15 ,3.00 ,3.90 ,0.20 ,3.00 ,1.30 ,0.26 ,,,,,,,,,5.45 ,0.27 ,3.00 ,6.42 ,0.32 ,3.00 ,1.18 ,0.16 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.69 ,0.03 ,3.00 ,2.88 ,1.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,50.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,20.42 ,1.02 ,3.00 ,2.38 ,0.87 ,1.40 ,0.07 ,3.00 ,2.00 ,0.10 ,3.00 ,1.43 ,0.36 ,6.13 ,0.31 ,3.00 ,10.21 ,0.51 ,3.00 ,1.67 ,0.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,2.80 ,0.14 ,3.00 ,2.00 ,0.69 ,20.10 ,1.01 ,3.00 ,44.00 ,2.20 ,3.00 ,2.19 ,0.78 ,3.00 ,0.15 ,3.00 ,4.60 ,0.23 ,3.00 ,1.53 ,0.43 ,,,,,,,,,5.45 ,0.27 ,3.00 ,6.54 ,0.33 ,3.00 ,1.20 ,0.18 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.69 ,0.03 ,3.00 ,2.88 ,1.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,50.00 ,Radish,365.00 ,15.00 ,8.58 ,0.43 ,3.00 ,22.56 ,1.13 ,3.00 ,2.63 ,0.97 ,1.40 ,0.07 ,3.00 ,2.20 ,0.11 ,3.00 ,1.57 ,0.45 ,6.13 ,0.31 ,3.00 ,10.26 ,0.51 ,3.00 ,1.67 ,0.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 ,0.07 ,3.00 ,3.40 ,0.17 ,3.00 ,2.43 ,0.89 ,20.10 ,1.01 ,3.00 ,49.30 ,2.47 ,3.00 ,2.45 ,0.90 ,3.00 ,0.15 ,3.00 ,5.10 ,0.26 ,3.00 ,1.70 ,0.53 ,,,,,,,,,5.45 ,0.27 ,3.00 ,6.86 ,0.34 ,3.00 ,1.26 ,0.23 ,,,,,,,,,,,,,,,,,0.24 ,0.01 ,3.00 ,0.77 ,0.04 ,3.00 ,3.21 ,1.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_2,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,B,25.00 ,Radish,730.00 ,15.00 ,7.77 ,0.39 ,3.00 ,12.59 ,0.63 ,3.00 ,1.62 ,0.48 ,1.30 ,0.07 ,3.00 ,1.50 ,0.08 ,3.00 ,1.15 ,0.14 ,5.98 ,0.30 ,3.00 ,8.39 ,0.42 ,3.00 ,1.40 ,0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 ,0.06 ,3.00 ,1.20 ,0.06 ,3.00 ,1.00 ,0.00 ,11.80 ,0.59 ,3.00 ,11.90 ,0.60 ,3.00 ,1.01 ,0.01 ,3.20 ,0.16 ,3.00 ,3.30 ,0.17 ,3.00 ,1.03 ,0.03 ,,,,,,,,,5.41 ,0.27 ,3.00 ,5.99 ,0.30 ,3.00 ,1.11 ,0.10 ,,,,,,,,,,,,,,,,,0.25 ,0.01 ,3.00 ,0.26 ,0.01 ,3.00 ,1.04 ,0.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_2,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,B,50.00 ,Radish,730.00 ,15.00 ,7.77 ,0.39 ,3.00 ,19.20 ,0.96 ,3.00 ,2.47 ,0.90 ,1.30 ,0.07 ,3.00 ,1.70 ,0.09 ,3.00 ,1.31 ,0.27 ,5.98 ,0.30 ,3.00 ,11.29 ,0.56 ,3.00 ,1.89 ,0.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 ,0.06 ,3.00 ,1.90 ,0.10 ,3.00 ,1.58 ,0.46 ,11.80 ,0.59 ,3.00 ,25.00 ,1.25 ,3.00 ,2.12 ,0.75 ,3.20 ,0.16 ,3.00 ,3.60 ,0.18 ,3.00 ,1.13 ,0.12 ,,,,,,,,,5.41 ,0.27 ,3.00 ,6.38 ,0.32 ,3.00 ,1.18 ,0.16 ,,,,,,,,,,,,,,,,,0.25 ,0.01 ,3.00 ,0.28 ,0.01 ,3.00 ,1.12 ,0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_2,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,25.00 ,Radish,730.00 ,15.00 ,7.77 ,0.39 ,3.00 ,15.31 ,0.77 ,3.00 ,1.97 ,0.68 ,1.30 ,0.07 ,3.00 ,1.90 ,0.10 ,3.00 ,1.46 ,0.38 ,5.98 ,0.30 ,3.00 ,8.06 ,0.40 ,3.00 ,1.35 ,0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 ,0.06 ,3.00 ,2.90 ,0.15 ,3.00 ,2.42 ,0.88 ,11.80 ,0.59 ,3.00 ,34.10 ,1.71 ,3.00 ,2.89 ,1.06 ,3.20 ,0.16 ,3.00 ,4.90 ,0.25 ,3.00 ,1.53 ,0.43 ,,,,,,,,,5.41 ,0.27 ,3.00 ,6.29 ,0.31 ,3.00 ,1.16 ,0.15 ,,,,,,,,,,,,,,,,,0.25 ,0.01 ,3.00 ,0.76 ,0.04 ,3.00 ,3.04 ,1.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_2,A.O. Adekiya,Effects of biochar and poultry manure on soil characteristics and the yield of radish,2019,Nigeria,6.02 ,8.15 ,Tropic,32,,,9.16 ,1.60 ,,,,,5.61 ,1.49 ,,Loamy sand,76.00 ,13.00 ,11.00 ,Wood,2.00 ,,580.00 ,,523.00 ,6.50 ,0.73 ,80.50 ,7.56 ,,BM,25.00 ,Radish,730.00 ,15.00 ,7.77 ,0.39 ,3.00 ,17.29 ,0.86 ,3.00 ,2.22 ,0.80 ,1.30 ,0.07 ,3.00 ,2.20 ,0.11 ,3.00 ,1.69 ,0.53 ,5.98 ,0.30 ,3.00 ,7.86 ,0.39 ,3.00 ,1.31 ,0.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 ,0.06 ,3.00 ,3.20 ,0.16 ,3.00 ,2.67 ,0.98 ,11.80 ,0.59 ,3.00 ,41.20 ,2.06 ,3.00 ,3.49 ,1.25 ,3.20 ,0.16 ,3.00 ,5.50 ,0.28 ,3.00 ,1.72 ,0.54 ,,,,,,,,,5.41 ,0.27 ,3.00 ,6.51 ,0.33 ,3.00 ,1.20 ,0.19 ,,,,,,,,,,,,,,,,,0.25 ,0.01 ,3.00 ,0.85 ,0.04 ,3.00 ,3.40 ,1.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
