Country,Longitude,Latitude,ClimateZone,Temperature,Precipitation,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration,SoilDepth,SOC_T,TN_T,CNRatio_T,DOC_T,NH4_N_T,NO3_N_T,OlsenP_T,CEC_T,K_T,Ca_T,Mg_T,Na_T,pH_T,SMBC_T,SMBN_T,CropYield_T,CO2_T,CH4_T,N2O_T,GWP_T,GHGI_T
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,B,25.0,Radish,365.0,15.0,12.18,1.5,8.12,,,,,,1.5,21.1,3.0,,5.94,,,0.24,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,B,50.0,Radish,365.0,15.0,18.56,1.5,12.37,,,,,,1.5,21.2,3.1,,6.3,,,0.32,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,25.0,Radish,365.0,15.0,14.85,1.8,8.25,,,,,,2.4,32.0,3.5,,6.2,,,0.63,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,25.0,Radish,365.0,15.0,16.88,2.0,8.44,,,,,,2.9,39.3,3.9,,6.42,,,0.69,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,50.0,Radish,365.0,15.0,20.42,2.0,10.21,,,,,,2.8,44.0,4.6,,6.54,,,0.69,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,50.0,Radish,365.0,15.0,22.56,2.2,10.26,,,,,,3.4,49.3,5.1,,6.86,,,0.77,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,B,25.0,Radish,730.0,15.0,12.59,1.5,8.39,,,,,,1.2,11.9,3.3,,5.99,,,0.26,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,B,50.0,Radish,730.0,15.0,19.2,1.7,11.29,,,,,,1.9,25.0,3.6,,6.38,,,0.28,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,25.0,Radish,730.0,15.0,15.31,1.9,8.06,,,,,,2.9,34.1,4.9,,6.29,,,0.76,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,25.0,Radish,730.0,15.0,17.29,2.2,7.86,,,,,,3.2,41.2,5.5,,6.51,,,0.85,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,50.0,Radish,730.0,15.0,20.19,2.1,9.61,,,,,,3.4,39.0,6.1,,6.6,,,0.86,,,,,
Nigeria,6.02,8.15,Tropic,32.0,1786.0,9.16,1.6,,,,,5.61,1.49,,Loamy sand,76.0,13.0,11.0,Wood,2.0,,580.00 ,,523.0,6.5,0.73,80.5,7.56,,BM,50.0,Radish,730.0,15.0,22.8,2.3,9.91,,,,,,4.2,47.2,6.8,,6.93,,,0.98,,,,,
Ghana,0.97,9.42,Tropic,25.8,1786.0,6.2,0.6,,,,,6.22,,2.89,Sandy loam,62.85,33.82,3.33,Rice husk,,,400.00 ,,623.0,10.5,,59.33,9.7,,B,2.0,Maize,80.0,20.0,,,,,,,,,,,,,,,,1.67,,,,,
Ghana,0.97,9.42,Tropic,25.8,1786.0,6.2,0.6,,,,,6.22,,2.89,Sandy loam,62.85,33.82,3.33,Rice husk,,,400.00 ,,623.0,10.5,,59.33,9.7,,B,4.0,Maize,80.0,20.0,,,,,,,,,,,,,,,,2.79,,,,,
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.78,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,10.0,Rice,150.0,15.0,25.9,2.12,12.22,,,,,,,,,,6.67,,,9.6,,103.2,0.55,7.464452526404185,181.66
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.78,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,40.0,Rice,150.0,15.0,36.9,2.48,14.88,,,,,,,,,,6.94,,,9.8,,104.9,0.6,7.245869024732605,142.99
China,119.68,31.4,Subtropic,15.7,1177.0,23.2,2.07,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,BN,10.0,Rice,150.0,15.0,27.1,2.19,12.37,,,,,,,,,,6.75,,,9.9,,67.2,1.19,7.6185557197794,205.52
